"ID","Title","Content","Acceptance Criteria","Review Requirements","State","Labels"
"11","[#011] 清理 analyzer：lib/desktop/setting/search_services_pane.dart（61 条）","目标文件：lib/desktop/setting/search_services_pane.dart；动态排名 #011；共 61 条 issue（W1/I60/E0）。主簇：deprecated_member_use×43、curly_braces_in_flow_control_structures×14、use_build_context_synchronously×3、invalid_null_aware_operator×1。修复顺序：先行为/正确性风险（use_build_context_synchronously×3、invalid_null_aware_operator×1），再 API 漂移（deprecated_member_use×43），最后样式卫生（curly_braces_in_flow_control_structures×14）。边界：主落点限该文件；伴随修改最多 1~2 个直接依赖共享文件；若需改共享接口、持久化、l10n、桌面入口或 path dependency 公共面，立即升级为跨边界问题。","1. 该文件及最小伴随文件的局部 analyze 清零。 2. 已改文件完成 dart format，且格式化后无新增诊断。 3. 整仓 flutter analyze 总数下降，且该文件退出文件级队列。 4. flutter test 保持通过。 5. 该任务属于桌面层，纳入“每 5 个 desktop 文件一次 flutter build macos --debug、最终再执行一次”的批次护栏。","强制 review + rewind：1. 用工具复查该文件全部诊断已清零，无残余。 2. 伴随修改未越过共享接口、持久化、l10n、path dependency 或桌面入口边界。 3. 未引入新诊断、新公共 API、新文案、新 fallback。 4. 若总 issue 不降反升、测试转红或出现新类型簇，立即停在当前文件回查。","已完成","已完成"
"12","[#012] 清理 analyzer：lib/features/search/pages/search_services_page.dart（60 条）","目标文件：lib/features/search/pages/search_services_page.dart；动态排名 #012；共 60 条 issue（W14/I46/E0）。主簇：deprecated_member_use×31、curly_braces_in_flow_control_structures×12、unnecessary_non_null_assertion×4、unused_element×3、unused_element_parameter×3。修复顺序：先行为/正确性风险（unnecessary_non_null_assertion×4），再 API 漂移（deprecated_member_use×31），最后样式卫生（curly_braces_in_flow_control_structures×12、unused_element×3、unused_element_parameter×3）。边界：主落点限该文件；伴随修改最多 1~2 个直接依赖共享文件；若需改共享接口、持久化、l10n、桌面入口或 path dependency 公共面，立即升级为跨边界问题。","1. 该文件及最小伴随文件的局部 analyze 清零。 2. 已改文件完成 dart format，且格式化后无新增诊断。 3. 整仓 flutter analyze 总数下降，且该文件退出文件级队列。 4. flutter test 保持通过。 5. 若伴随修改触达 lib/desktop/**，同样纳入桌面护栏；否则不额外触发桌面构建门禁。","强制 review + rewind：1. 用工具复查该文件全部诊断已清零，无残余。 2. 伴随修改未越过共享接口、持久化、l10n、path dependency 或桌面入口边界。 3. 未引入新诊断、新公共 API、新文案、新 fallback。 4. 若总 issue 不降反升、测试转红或出现新类型簇，立即停在当前文件回查。","已完成","已完成"
"13","[#013] 清理 analyzer：lib/features/settings/pages/storage_space_page.dart（55 条）","目标文件：lib/features/settings/pages/storage_space_page.dart；动态排名 #013；共 55 条 issue（W4/I51/E0）。主簇：deprecated_member_use×51、unused_element_parameter×3、dead_null_aware_expression×1。修复顺序：先行为/正确性风险（dead_null_aware_expression×1），再 API 漂移（deprecated_member_use×51），最后样式卫生（unused_element_parameter×3）。边界：主落点限该文件；伴随修改最多 1~2 个直接依赖共享文件；若需改共享接口、持久化、l10n、桌面入口或 path dependency 公共面，立即升级为跨边界问题。","1. 该文件及最小伴随文件的局部 analyze 清零。 2. 已改文件完成 dart format，且格式化后无新增诊断。 3. 整仓 flutter analyze 总数下降，且该文件退出文件级队列。 4. flutter test 保持通过。 5. 若伴随修改触达 lib/desktop/**，同样纳入桌面护栏；否则不额外触发桌面构建门禁。","强制 review + rewind：1. 用工具复查该文件全部诊断已清零，无残余。 2. 伴随修改未越过共享接口、持久化、l10n、path dependency 或桌面入口边界。 3. 未引入新诊断、新公共 API、新文案、新 fallback。 4. 若总 issue 不降反升、测试转红或出现新类型簇，立即停在当前文件回查。","已完成","已完成"
"14","[#014] 清理 analyzer：lib/features/model/widgets/model_detail_sheet.dart（54 条）","目标文件：lib/features/model/widgets/model_detail_sheet.dart；动态排名 #014；共 54 条 issue（W2/I52/E0）。主簇：deprecated_member_use×47、curly_braces_in_flow_control_structures×4、no_leading_underscores_for_local_identifiers×1、unused_element×1、unused_element_parameter×1。修复顺序：先行为/正确性风险（按全文件扫描确认），再 API 漂移（deprecated_member_use×47），最后样式卫生（curly_braces_in_flow_control_structures×4、no_leading_underscores_for_local_identifiers×1、unused_element×1、unused_element_parameter×1）。边界：主落点限该文件；伴随修改最多 1~2 个直接依赖共享文件；若需改共享接口、持久化、l10n、桌面入口或 path dependency 公共面，立即升级为跨边界问题。","1. 该文件及最小伴随文件的局部 analyze 清零。 2. 已改文件完成 dart format，且格式化后无新增诊断。 3. 整仓 flutter analyze 总数下降，且该文件退出文件级队列。 4. flutter test 保持通过。 5. 若伴随修改触达 lib/desktop/**，同样纳入桌面护栏；否则不额外触发桌面构建门禁。","强制 review + rewind：1. 用工具复查该文件全部诊断已清零，无残余。 2. 伴随修改未越过共享接口、持久化、l10n、path dependency 或桌面入口边界。 3. 未引入新诊断、新公共 API、新文案、新 fallback。 4. 若总 issue 不降反升、测试转红或出现新类型簇，立即停在当前文件回查。","已完成","已完成"
"15","[#015] 清理 analyzer：lib/features/model/pages/default_model_page.dart（52 条）","目标文件：lib/features/model/pages/default_model_page.dart；动态排名 #015；共 52 条 issue（W9/I43/E0）。主簇：deprecated_member_use×32、use_build_context_synchronously×6、unused_element×4、curly_braces_in_flow_control_structures×3、unused_element_parameter×3。修复顺序：先行为/正确性风险（use_build_context_synchronously×6），再 API 漂移（deprecated_member_use×32），最后样式卫生（unused_element×4、curly_braces_in_flow_control_structures×3、unused_element_parameter×3）。边界：主落点限该文件；伴随修改最多 1~2 个直接依赖共享文件；若需改共享接口、持久化、l10n、桌面入口或 path dependency 公共面，立即升级为跨边界问题。","1. 该文件及最小伴随文件的局部 analyze 清零。 2. 已改文件完成 dart format，且格式化后无新增诊断。 3. 整仓 flutter analyze 总数下降，且该文件退出文件级队列。 4. flutter test 保持通过。 5. 若伴随修改触达 lib/desktop/**，同样纳入桌面护栏；否则不额外触发桌面构建门禁。","强制 review + rewind：1. 用工具复查该文件全部诊断已清零，无残余。 2. 伴随修改未越过共享接口、持久化、l10n、path dependency 或桌面入口边界。 3. 未引入新诊断、新公共 API、新文案、新 fallback。 4. 若总 issue 不降反升、测试转红或出现新类型簇，立即停在当前文件回查。","已完成","已完成"
"16","[#016] 清理 analyzer：lib/features/provider/pages/providers_page.dart（50 条）","目标文件：lib/features/provider/pages/providers_page.dart；动态排名 #016；共 50 条 issue（W10/I40/E0）。主簇：deprecated_member_use×34、unused_element_parameter×6、unused_element×3、use_build_context_synchronously×3、curly_braces_in_flow_control_structures×2。修复顺序：先行为/正确性风险（use_build_context_synchronously×3），再 API 漂移（deprecated_member_use×34），最后样式卫生（unused_element_parameter×6、unused_element×3、curly_braces_in_flow_control_structures×2）。边界：主落点限该文件；伴随修改最多 1~2 个直接依赖共享文件；若需改共享接口、持久化、l10n、桌面入口或 path dependency 公共面，立即升级为跨边界问题。","1. 该文件及最小伴随文件的局部 analyze 清零。 2. 已改文件完成 dart format，且格式化后无新增诊断。 3. 整仓 flutter analyze 总数下降，且该文件退出文件级队列。 4. flutter test 保持通过。 5. 若伴随修改触达 lib/desktop/**，同样纳入桌面护栏；否则不额外触发桌面构建门禁。","强制 review + rewind：1. 用工具复查该文件全部诊断已清零，无残余。 2. 伴随修改未越过共享接口、持久化、l10n、path dependency 或桌面入口边界。 3. 未引入新诊断、新公共 API、新文案、新 fallback。 4. 若总 issue 不降反升、测试转红或出现新类型簇，立即停在当前文件回查。","已完成","已完成"
"17","[#017] 清理 analyzer：lib/desktop/setting/tts_services_pane.dart（47 条）","目标文件：lib/desktop/setting/tts_services_pane.dart；动态排名 #017；共 47 条 issue（W5/I42/E0）。主簇：deprecated_member_use×34、curly_braces_in_flow_control_structures×5、use_build_context_synchronously×3、unused_element×2、unused_local_variable×2。修复顺序：先行为/正确性风险（use_build_context_synchronously×3），再 API 漂移（deprecated_member_use×34），最后样式卫生（curly_braces_in_flow_control_structures×5、unused_element×2、unused_local_variable×2）。边界：主落点限该文件；伴随修改最多 1~2 个直接依赖共享文件；若需改共享接口、持久化、l10n、桌面入口或 path dependency 公共面，立即升级为跨边界问题。","1. 该文件及最小伴随文件的局部 analyze 清零。 2. 已改文件完成 dart format，且格式化后无新增诊断。 3. 整仓 flutter analyze 总数下降，且该文件退出文件级队列。 4. flutter test 保持通过。 5. 该任务属于桌面层，纳入“每 5 个 desktop 文件一次 flutter build macos --debug、最终再执行一次”的批次护栏。","强制 review + rewind：1. 用工具复查该文件全部诊断已清零，无残余。 2. 伴随修改未越过共享接口、持久化、l10n、path dependency 或桌面入口边界。 3. 未引入新诊断、新公共 API、新文案、新 fallback。 4. 若总 issue 不降反升、测试转红或出现新类型簇，立即停在当前文件回查。","已完成","已完成"
"18","[#018] 清理 analyzer：lib/features/world_book/pages/world_book_page.dart（46 条）","目标文件：lib/features/world_book/pages/world_book_page.dart；动态排名 #018；共 46 条 issue（W0/I46/E0）。主簇：deprecated_member_use×41、use_build_context_synchronously×5。修复顺序：先行为/正确性风险（use_build_context_synchronously×5），再 API 漂移（deprecated_member_use×41），最后样式卫生（按全文件扫描确认）。边界：主落点限该文件；伴随修改最多 1~2 个直接依赖共享文件；若需改共享接口、持久化、l10n、桌面入口或 path dependency 公共面，立即升级为跨边界问题。","1. 该文件及最小伴随文件的局部 analyze 清零。 2. 已改文件完成 dart format，且格式化后无新增诊断。 3. 整仓 flutter analyze 总数下降，且该文件退出文件级队列。 4. flutter test 保持通过。 5. 若伴随修改触达 lib/desktop/**，同样纳入桌面护栏；否则不额外触发桌面构建门禁。","强制 review + rewind：1. 用工具复查该文件全部诊断已清零，无残余。 2. 伴随修改未越过共享接口、持久化、l10n、path dependency 或桌面入口边界。 3. 未引入新诊断、新公共 API、新文案、新 fallback。 4. 若总 issue 不降反升、测试转红或出现新类型簇，立即停在当前文件回查。","已完成","已完成"
"19","[#019] 清理 analyzer：lib/features/settings/pages/tts_services_page.dart（43 条）","目标文件：lib/features/settings/pages/tts_services_page.dart；动态排名 #019；共 43 条 issue（W4/I39/E0）。主簇：deprecated_member_use×30、curly_braces_in_flow_control_structures×6、unused_element_parameter×3、use_build_context_synchronously×3、duplicate_import×1。修复顺序：先行为/正确性风险（use_build_context_synchronously×3），再 API 漂移（deprecated_member_use×30），最后样式卫生（curly_braces_in_flow_control_structures×6、unused_element_parameter×3、duplicate_import×1）。边界：主落点限该文件；伴随修改最多 1~2 个直接依赖共享文件；若需改共享接口、持久化、l10n、桌面入口或 path dependency 公共面，立即升级为跨边界问题。","1. 该文件及最小伴随文件的局部 analyze 清零。 2. 已改文件完成 dart format，且格式化后无新增诊断。 3. 整仓 flutter analyze 总数下降，且该文件退出文件级队列。 4. flutter test 保持通过。 5. 若伴随修改触达 lib/desktop/**，同样纳入桌面护栏；否则不额外触发桌面构建门禁。","强制 review + rewind：1. 用工具复查该文件全部诊断已清零，无残余。 2. 伴随修改未越过共享接口、持久化、l10n、path dependency 或桌面入口边界。 3. 未引入新诊断、新公共 API、新文案、新 fallback。 4. 若总 issue 不降反升、测试转红或出现新类型簇，立即停在当前文件回查。","已完成","已完成"
"20","[#020] 清理 analyzer：lib/desktop/setting/mcp_edit_dialog.dart（42 条）","目标文件：lib/desktop/setting/mcp_edit_dialog.dart；动态排名 #020；共 42 条 issue（W3/I39/E0）。主簇：deprecated_member_use×34、curly_braces_in_flow_control_structures×5、unnecessary_non_null_assertion×2、unused_local_variable×1。修复顺序：先行为/正确性风险（unnecessary_non_null_assertion×2），再 API 漂移（deprecated_member_use×34），最后样式卫生（curly_braces_in_flow_control_structures×5、unused_local_variable×1）。边界：主落点限该文件；伴随修改最多 1~2 个直接依赖共享文件；若需改共享接口、持久化、l10n、桌面入口或 path dependency 公共面，立即升级为跨边界问题。","1. 该文件及最小伴随文件的局部 analyze 清零。 2. 已改文件完成 dart format，且格式化后无新增诊断。 3. 整仓 flutter analyze 总数下降，且该文件退出文件级队列。 4. flutter test 保持通过。 5. 该任务属于桌面层，纳入“每 5 个 desktop 文件一次 flutter build macos --debug、最终再执行一次”的批次护栏。","强制 review + rewind：1. 用工具复查该文件全部诊断已清零，无残余。 2. 伴随修改未越过共享接口、持久化、l10n、path dependency 或桌面入口边界。 3. 未引入新诊断、新公共 API、新文案、新 fallback。 4. 若总 issue 不降反升、测试转红或出现新类型簇，立即停在当前文件回查。","已完成","已完成"
"21","[#021] 清理 analyzer：lib/features/model/widgets/model_select_sheet.dart（39 条）","目标文件：lib/features/model/widgets/model_select_sheet.dart；动态排名 #021；共 39 条 issue（W2/I37/E0）。主簇：deprecated_member_use×33、unnecessary_brace_in_string_interps×2、unused_field×2、use_build_context_synchronously×2。修复顺序：先行为/正确性风险（use_build_context_synchronously×2），再 API 漂移（deprecated_member_use×33），最后样式卫生（unnecessary_brace_in_string_interps×2、unused_field×2）。边界：主落点限该文件；伴随修改最多 1~2 个直接依赖共享文件；若需改共享接口、持久化、l10n、桌面入口或 path dependency 公共面，立即升级为跨边界问题。","1. 该文件及最小伴随文件的局部 analyze 清零。 2. 已改文件完成 dart format，且格式化后无新增诊断。 3. 整仓 flutter analyze 总数下降，且该文件退出文件级队列。 4. flutter test 保持通过。 5. 若伴随修改触达 lib/desktop/**，同样纳入桌面护栏；否则不额外触发桌面构建门禁。","强制 review + rewind：1. 用工具复查该文件全部诊断已清零，无残余。 2. 伴随修改未越过共享接口、持久化、l10n、path dependency 或桌面入口边界。 3. 未引入新诊断、新公共 API、新文案、新 fallback。 4. 若总 issue 不降反升、测试转红或出现新类型簇，立即停在当前文件回查。","已完成","已完成"
"22","[#022] 清理 analyzer：lib/features/provider/pages/multi_key_manager_page.dart（38 条）","目标文件：lib/features/provider/pages/multi_key_manager_page.dart；动态排名 #022；共 38 条 issue（W8/I30/E0）。主簇：deprecated_member_use×21、use_build_context_synchronously×5、curly_braces_in_flow_control_structures×2、duplicate_import×2、unreachable_switch_default×2。修复顺序：先行为/正确性风险（use_build_context_synchronously×5、unreachable_switch_default×2），再 API 漂移（deprecated_member_use×21），最后样式卫生（curly_braces_in_flow_control_structures×2、duplicate_import×2）。边界：主落点限该文件；伴随修改最多 1~2 个直接依赖共享文件；若需改共享接口、持久化、l10n、桌面入口或 path dependency 公共面，立即升级为跨边界问题。","1. 该文件及最小伴随文件的局部 analyze 清零。 2. 已改文件完成 dart format，且格式化后无新增诊断。 3. 整仓 flutter analyze 总数下降，且该文件退出文件级队列。 4. flutter test 保持通过。 5. 若伴随修改触达 lib/desktop/**，同样纳入桌面护栏；否则不额外触发桌面构建门禁。","强制 review + rewind：1. 用工具复查该文件全部诊断已清零，无残余。 2. 伴随修改未越过共享接口、持久化、l10n、path dependency 或桌面入口边界。 3. 未引入新诊断、新公共 API、新文案、新 fallback。 4. 若总 issue 不降反升、测试转红或出现新类型簇，立即停在当前文件回查。","已完成","已完成"
